geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
75_451,0.57,0.47,0.31,0.4,0.93333333333333
75_451,0.69,0.65,0.44,0.5571428571428599,1.0
75_451,0.61,0.67,0.84,0.54,0.93333333333333
75_451,0.65,0.37,0.81,0.44857142857143,1.0
75_451,0.63,0.59,0.75,0.5857142857142901,0.86666666666667
75_451,0.7,0.48,0.35,0.53142857142857,0.8
75_451,0.49,0.74,0.81,0.52285714285714,1.0
75_451,0.4,0.82,0.6,0.46857142857143,1.0
75_451,0.62,0.63,0.39,0.48285714285714,1.0
75_451,0.63,0.41,0.77,0.5571428571428599,1.0
75_451,0.72,0.88,0.79,0.61285714285714,1.0
75_451,0.39,0.85,0.77,0.53142857142857,0.86666666666667
75_451,0.36,0.44,0.67,0.38571428571429,0.93333333333333
75_451,0.64,0.84,0.4,0.47285714285714003,1.0
75_451,0.36,0.35,0.72,0.46142857142856997,0.73333333333333
75_451,0.68,0.48,0.79,0.48714285714286004,0.86666666666667
75_451,0.38,0.33,0.62,0.36000000000000004,1.0
75_451,0.83,0.54,0.69,0.55,0.86666666666667
75_451,0.73,0.61,0.84,0.61428571428571,1.0
75_451,0.54,0.44,0.64,0.45857142857142996,0.86666666666667
75_451,0.76,0.71,0.69,0.56428571428571,1.0
75_451,0.46,0.69,0.54,0.5714285714285701,0.93333333333333
75_451,0.75,0.39,0.52,0.47857142857143,0.93333333333333
75_451,0.85,0.54,0.36,0.47857142857143,1.0
75_451,0.89,0.63,0.44,0.58142857142857,1.0
75_451,0.67,0.61,0.37,0.49857142857143,0.73333333333333
75_451,0.73,0.47,0.76,0.60571428571429,0.86666666666667
75_451,0.51,0.81,0.57,0.54571428571429,1.0
75_451,0.45,0.48,0.39,0.48428571428571,1.0
75_451,0.49,0.81,0.52,0.54714285714286,1.0
75_451,0.57,0.63,0.43,0.51714285714286,0.8
75_451,0.7,0.87,0.44,0.5900000000000001,1.0
75_451,0.57,0.59,0.6,0.50285714285714,0.93333333333333
75_451,0.82,0.59,0.81,0.53714285714286,1.0
75_451,0.35,0.31,0.51,0.36428571428571005,1.0
75_451,0.85,0.78,0.59,0.61,0.8
75_451,0.31,0.78,0.81,0.43,0.8
75_451,0.78,0.65,0.5,0.49142857142857005,1.0
75_451,0.3,0.37,0.52,0.36285714285714005,0.93333333333333
75_451,0.35,0.73,0.46,0.44285714285714006,0.73333333333333
75_451,0.71,0.78,0.56,0.5728571428571401,0.73333333333333
75_451,0.46,0.35,0.36,0.33142857142857,1.0
75_451,0.4,0.82,0.89,0.65142857142857,0.93333333333333
75_451,0.53,0.46,0.8,0.50714285714286,0.73333333333333
75_451,0.72,0.67,0.46,0.49428571428571005,1.0
75_451,0.35,0.89,0.48,0.48714285714286004,0.86666666666667
75_451,0.35,0.74,0.65,0.52,0.93333333333333
75_451,0.37,0.52,0.82,0.54285714285714,1.0
75_451,0.39,0.47,0.35,0.42142857142857004,0.93333333333333
75_451,0.47,0.31,0.58,0.48142857142857,1.0
75_451,0.57,0.3,0.86,0.47571428571429,0.73333333333333
75_451,0.57,0.59,0.58,0.49857142857143,0.93333333333333
75_451,0.52,0.83,0.59,0.5557142857142899,0.8
75_451,0.42,0.85,0.83,0.52,1.0
75_451,0.78,0.62,0.32,0.55142857142857,0.8
75_451,0.63,0.53,0.71,0.52428571428571,0.73333333333333
75_451,0.51,0.52,0.81,0.47000000000000003,1.0
75_451,0.48,0.3,0.61,0.47571428571429,1.0
