geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
74_433,0.63,0.82,0.63,0.5871428571428601,1.0
74_433,0.49,0.68,0.66,0.53714285714286,0.73333333333333
74_433,0.64,0.85,0.46,0.52428571428571,1.0
74_433,0.67,0.67,0.39,0.5685714285714301,0.93333333333333
74_433,0.57,0.51,0.44,0.49142857142857005,1.0
74_433,0.75,0.4,0.3,0.43714285714286005,0.8
74_433,0.73,0.35,0.79,0.47428571428571004,0.73333333333333
74_433,0.75,0.32,0.86,0.52142857142857,0.86666666666667
74_433,0.72,0.54,0.49,0.49714285714286,0.86666666666667
74_433,0.47,0.69,0.41,0.51285714285714,0.73333333333333
74_433,0.38,0.74,0.67,0.49857142857143,0.86666666666667
74_433,0.4,0.64,0.89,0.54571428571429,0.86666666666667
74_433,0.67,0.59,0.43,0.49571428571429,0.86666666666667
74_433,0.38,0.56,0.82,0.47571428571429,1.0
74_433,0.71,0.32,0.89,0.6028571428571401,0.93333333333333
74_433,0.78,0.35,0.76,0.56142857142857,1.0
74_433,0.63,0.34,0.59,0.48,0.8
74_433,0.39,0.78,0.73,0.54,1.0
74_433,0.56,0.34,0.52,0.51285714285714,0.8
74_433,0.66,0.55,0.4,0.53285714285714,1.0
74_433,0.61,0.82,0.57,0.5685714285714301,0.86666666666667
74_433,0.59,0.81,0.32,0.48142857142857,0.93333333333333
74_433,0.44,0.72,0.65,0.51857142857143,1.0
74_433,0.65,0.46,0.38,0.48428571428571,0.93333333333333
74_433,0.52,0.37,0.4,0.5,0.73333333333333
74_433,0.71,0.84,0.77,0.5928571428571401,0.8
74_433,0.81,0.87,0.37,0.5671428571428601,1.0
74_433,0.63,0.57,0.53,0.49571428571429,1.0
74_433,0.46,0.86,0.85,0.5742857142857101,0.73333333333333
74_433,0.81,0.88,0.85,0.60571428571429,0.73333333333333
74_433,0.3,0.88,0.47,0.46857142857143,0.86666666666667
74_433,0.83,0.81,0.66,0.66571428571429,1.0
74_433,0.44,0.38,0.38,0.36857142857143005,0.73333333333333
74_433,0.82,0.83,0.64,0.5914285714285701,0.86666666666667
74_433,0.59,0.52,0.55,0.47285714285714003,1.0
74_433,0.77,0.48,0.37,0.52142857142857,1.0
74_433,0.63,0.34,0.83,0.48428571428571,0.86666666666667
74_433,0.61,0.37,0.84,0.46571428571429,1.0
74_433,0.81,0.78,0.33,0.52857142857143,1.0
