geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
103_453,0.37,0.45,0.69,0.45714285714285996,1.0
103_453,0.82,0.45,0.89,0.49285714285714005,0.86666666666667
103_453,0.88,0.4,0.68,0.5557142857142899,0.8
103_453,0.56,0.57,0.73,0.54857142857143,0.73333333333333
103_453,0.5,0.63,0.75,0.45,0.93333333333333
103_453,0.69,0.59,0.31,0.52571428571429,1.0
103_453,0.36,0.83,0.37,0.41142857142857,0.86666666666667
103_453,0.56,0.32,0.89,0.51285714285714,1.0
103_453,0.35,0.81,0.34,0.44142857142857006,0.8
103_453,0.78,0.64,0.31,0.53,1.0
103_453,0.77,0.85,0.35,0.48857142857143004,1.0
103_453,0.89,0.6,0.55,0.54285714285714,1.0
103_453,0.81,0.57,0.76,0.5871428571428601,0.86666666666667
103_453,0.8,0.76,0.55,0.52857142857143,1.0
103_453,0.55,0.65,0.59,0.5714285714285701,0.8
103_453,0.5,0.78,0.86,0.6014285714285701,1.0
103_453,0.64,0.39,0.39,0.47714285714286,0.86666666666667
103_453,0.71,0.39,0.83,0.49571428571429,0.86666666666667
103_453,0.67,0.73,0.87,0.53,1.0
103_453,0.72,0.69,0.37,0.48142857142857,0.8
103_453,0.71,0.44,0.36,0.40714285714285997,0.73333333333333
103_453,0.38,0.32,0.72,0.48142857142857,0.93333333333333
103_453,0.64,0.65,0.85,0.6028571428571401,0.8
103_453,0.62,0.41,0.76,0.47000000000000003,0.86666666666667
103_453,0.61,0.41,0.48,0.42285714285714004,1.0
103_453,0.37,0.39,0.66,0.43714285714286005,0.93333333333333
103_453,0.79,0.5,0.31,0.5742857142857101,1.0
103_453,0.68,0.62,0.61,0.50714285714286,0.93333333333333
103_453,0.45,0.35,0.55,0.43857142857143006,1.0
103_453,0.75,0.73,0.54,0.48857142857143004,0.93333333333333
103_453,0.76,0.82,0.37,0.59714285714286,1.0
103_453,0.74,0.89,0.73,0.6442857142857101,0.93333333333333
103_453,0.42,0.53,0.42,0.49142857142857005,0.8
103_453,0.64,0.73,0.67,0.46571428571429,1.0
103_453,0.79,0.89,0.89,0.63285714285714,0.8
103_453,0.48,0.4,0.79,0.50285714285714,1.0
103_453,0.72,0.31,0.58,0.45142857142857,0.93333333333333
103_453,0.55,0.56,0.84,0.5571428571428599,0.86666666666667
103_453,0.66,0.77,0.42,0.6014285714285701,1.0
103_453,0.65,0.56,0.79,0.58142857142857,1.0
103_453,0.8,0.77,0.85,0.64714285714286,0.93333333333333
103_453,0.44,0.66,0.49,0.51,1.0
103_453,0.59,0.62,0.59,0.50142857142857,0.73333333333333
103_453,0.82,0.47,0.62,0.53,0.73333333333333
103_453,0.66,0.52,0.43,0.45142857142857,0.93333333333333
103_453,0.69,0.53,0.89,0.5914285714285701,1.0
103_453,0.73,0.45,0.87,0.53714285714286,0.73333333333333
103_453,0.56,0.77,0.52,0.53428571428571,0.93333333333333
103_453,0.65,0.6,0.55,0.48571428571429004,1.0
103_453,0.55,0.52,0.57,0.46857142857143,0.8
103_453,0.81,0.6,0.47,0.49285714285714005,1.0
103_453,0.68,0.42,0.47,0.35857142857143004,0.8
103_453,0.34,0.54,0.54,0.46714285714286,1.0
103_453,0.68,0.39,0.54,0.48285714285714,0.8
103_453,0.78,0.36,0.71,0.53428571428571,1.0
103_453,0.32,0.7,0.54,0.47285714285714003,1.0
103_453,0.55,0.48,0.48,0.51857142857143,0.8
103_453,0.37,0.56,0.35,0.51714285714286,1.0
103_453,0.38,0.48,0.66,0.40142857142857,0.93333333333333
103_453,0.38,0.47,0.51,0.50285714285714,0.8
103_453,0.36,0.33,0.46,0.4,0.86666666666667
103_453,0.65,0.76,0.85,0.52714285714286,0.73333333333333
103_453,0.37,0.5,0.36,0.40714285714285997,1.0
103_453,0.36,0.47,0.56,0.50571428571429,0.86666666666667
103_453,0.31,0.31,0.64,0.46571428571429,1.0
103_453,0.61,0.82,0.3,0.59714285714286,0.73333333333333
103_453,0.87,0.53,0.32,0.46142857142856997,1.0
103_453,0.48,0.7,0.33,0.46714285714286,0.86666666666667
103_453,0.55,0.76,0.89,0.5700000000000001,1.0
103_453,0.8,0.57,0.71,0.52142857142857,1.0
103_453,0.77,0.44,0.78,0.51428571428571,1.0
103_453,0.52,0.61,0.69,0.48142857142857,0.93333333333333
103_453,0.81,0.5,0.71,0.45142857142857,1.0
103_453,0.49,0.69,0.43,0.46714285714286,0.8
103_453,0.75,0.32,0.49,0.46428571428570997,0.8
103_453,0.43,0.63,0.58,0.50571428571429,0.8
103_453,0.43,0.89,0.8,0.5742857142857101,1.0
103_453,0.57,0.57,0.4,0.49571428571429,0.8
103_453,0.69,0.57,0.68,0.47571428571429,1.0
103_453,0.73,0.55,0.55,0.54,0.73333333333333
103_453,0.67,0.3,0.32,0.48428571428571,0.73333333333333
103_453,0.87,0.72,0.7,0.60571428571429,0.8
103_453,0.42,0.44,0.48,0.47285714285714003,1.0
103_453,0.61,0.36,0.75,0.45428571428571,0.8
103_453,0.8,0.83,0.82,0.65857142857143,1.0
103_453,0.88,0.49,0.74,0.54142857142857,0.73333333333333
103_453,0.82,0.4,0.52,0.48714285714286004,1.0
103_453,0.42,0.33,0.69,0.42571428571429,0.86666666666667
103_453,0.77,0.63,0.3,0.5942857142857101,0.73333333333333
103_453,0.33,0.71,0.82,0.51857142857143,1.0
103_453,0.31,0.53,0.4,0.39428571428571,0.86666666666667
103_453,0.84,0.67,0.74,0.5714285714285701,0.73333333333333
103_453,0.57,0.56,0.32,0.46857142857143,0.86666666666667
103_453,0.6,0.86,0.38,0.51142857142857,0.86666666666667
103_453,0.45,0.74,0.68,0.45571428571428996,1.0
103_453,0.47,0.83,0.43,0.46857142857143,1.0
103_453,0.81,0.88,0.7,0.6357142857142901,0.93333333333333
103_453,0.55,0.44,0.49,0.40428571428571003,1.0
103_453,0.87,0.47,0.65,0.55285714285714,0.93333333333333
103_453,0.5,0.52,0.69,0.41571428571429003,1.0
103_453,0.49,0.75,0.44,0.52857142857143,0.8
103_453,0.41,0.39,0.47,0.39571428571429,0.86666666666667
103_453,0.41,0.58,0.83,0.56571428571429,0.86666666666667
103_453,0.33,0.65,0.68,0.55142857142857,0.8
103_453,0.32,0.61,0.57,0.51571428571429,1.0
103_453,0.35,0.87,0.39,0.45142857142857,0.86666666666667
103_453,0.79,0.5,0.69,0.49285714285714005,0.93333333333333
103_453,0.36,0.75,0.64,0.44571428571429,1.0
103_453,0.77,0.68,0.64,0.51714285714286,0.8
103_453,0.34,0.71,0.66,0.49285714285714005,1.0
103_453,0.89,0.55,0.68,0.51857142857143,1.0
103_453,0.56,0.74,0.81,0.6200000000000001,1.0
103_453,0.5,0.77,0.59,0.5685714285714301,0.93333333333333
103_453,0.8,0.77,0.61,0.60714285714286,0.93333333333333
103_453,0.41,0.38,0.65,0.45142857142857,1.0
103_453,0.55,0.87,0.59,0.51571428571429,0.86666666666667
103_453,0.87,0.78,0.66,0.67571428571429,1.0
103_453,0.55,0.53,0.49,0.51,0.93333333333333
103_453,0.31,0.65,0.87,0.52714285714286,0.86666666666667
103_453,0.5,0.7,0.7,0.49285714285714005,0.86666666666667
103_453,0.72,0.37,0.87,0.50428571428571,0.73333333333333
103_453,0.73,0.72,0.61,0.58,1.0
103_453,0.7,0.66,0.41,0.51428571428571,0.8
103_453,0.34,0.46,0.76,0.50285714285714,1.0
103_453,0.77,0.8,0.82,0.6385714285714301,1.0
103_453,0.55,0.78,0.78,0.50285714285714,1.0
103_453,0.65,0.66,0.58,0.50571428571429,1.0
103_453,0.32,0.42,0.66,0.45999999999999996,0.73333333333333
103_453,0.6,0.73,0.63,0.49285714285714005,1.0
103_453,0.74,0.72,0.78,0.6400000000000001,1.0
103_453,0.31,0.46,0.38,0.42571428571429,1.0
103_453,0.57,0.78,0.73,0.6200000000000001,0.73333333333333
103_453,0.84,0.62,0.44,0.49857142857143,0.73333333333333
103_453,0.34,0.88,0.34,0.53571428571429,1.0
103_453,0.33,0.69,0.69,0.49000000000000005,0.8
