geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
104_420,0.72,0.54,0.75,0.46285714285713997,0.93333333333333
104_420,0.72,0.63,0.48,0.47428571428571004,1.0
104_420,0.37,0.79,0.3,0.51285714285714,0.73333333333333
104_420,0.8,0.47,0.73,0.47714285714286,1.0
104_420,0.57,0.38,0.58,0.41714285714286004,0.86666666666667
104_420,0.64,0.72,0.87,0.5585714285714299,1.0
104_420,0.83,0.32,0.42,0.43571428571429005,0.86666666666667
104_420,0.72,0.63,0.37,0.47285714285714003,1.0
104_420,0.87,0.58,0.52,0.52,1.0
104_420,0.7,0.5,0.79,0.5885714285714301,0.93333333333333
104_420,0.63,0.58,0.79,0.56285714285714,0.73333333333333
104_420,0.42,0.6,0.39,0.53428571428571,1.0
104_420,0.73,0.51,0.33,0.44000000000000006,0.86666666666667
104_420,0.77,0.62,0.32,0.48428571428571,0.86666666666667
104_420,0.32,0.69,0.62,0.44857142857143,0.86666666666667
104_420,0.68,0.68,0.64,0.51857142857143,1.0
104_420,0.4,0.47,0.4,0.40714285714285997,0.93333333333333
104_420,0.64,0.83,0.34,0.53571428571429,1.0
104_420,0.79,0.61,0.62,0.5900000000000001,0.86666666666667
104_420,0.85,0.64,0.36,0.51571428571429,1.0
104_420,0.67,0.34,0.54,0.42428571428571005,1.0
104_420,0.88,0.47,0.71,0.6385714285714301,0.73333333333333
104_420,0.31,0.51,0.88,0.49428571428571005,0.93333333333333
104_420,0.86,0.53,0.38,0.60857142857143,1.0
104_420,0.38,0.35,0.58,0.48428571428571,0.73333333333333
104_420,0.47,0.85,0.75,0.5557142857142899,0.8
104_420,0.69,0.5,0.34,0.45,1.0
104_420,0.74,0.88,0.66,0.63142857142857,0.86666666666667
104_420,0.77,0.81,0.4,0.6228571428571401,0.86666666666667
104_420,0.71,0.33,0.81,0.5700000000000001,1.0
104_420,0.7,0.66,0.7,0.54571428571429,0.8
104_420,0.61,0.54,0.68,0.51571428571429,0.8
104_420,0.85,0.4,0.49,0.48142857142857,1.0
104_420,0.49,0.39,0.58,0.50285714285714,0.8
104_420,0.79,0.88,0.53,0.56285714285714,1.0
104_420,0.4,0.64,0.4,0.41428571428571,1.0
104_420,0.49,0.53,0.56,0.54285714285714,1.0
104_420,0.51,0.47,0.72,0.54714285714286,1.0
104_420,0.8,0.5,0.77,0.52,1.0
104_420,0.35,0.69,0.55,0.51857142857143,1.0
104_420,0.61,0.83,0.61,0.61142857142857,0.93333333333333
104_420,0.53,0.35,0.74,0.47285714285714003,1.0
104_420,0.59,0.68,0.45,0.53285714285714,0.73333333333333
104_420,0.64,0.79,0.52,0.48285714285714,0.73333333333333
104_420,0.59,0.71,0.68,0.48714285714286004,0.8
104_420,0.88,0.7,0.77,0.57714285714286,1.0
104_420,0.82,0.65,0.78,0.53857142857143,0.86666666666667
104_420,0.56,0.3,0.87,0.49857142857143,1.0
104_420,0.4,0.82,0.78,0.5571428571428599,0.8
104_420,0.53,0.35,0.85,0.46142857142856997,0.73333333333333
104_420,0.48,0.68,0.57,0.50428571428571,1.0
104_420,0.53,0.48,0.47,0.52857142857143,0.8
