geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
70_443,0.86,0.33,0.33,0.44857142857143,0.73333333333333
70_443,0.86,0.51,0.41,0.48428571428571,1.0
70_443,0.48,0.64,0.73,0.5714285714285701,0.93333333333333
70_443,0.38,0.38,0.56,0.49142857142857005,1.0
70_443,0.49,0.89,0.78,0.57714285714286,1.0
70_443,0.59,0.83,0.88,0.63142857142857,1.0
70_443,0.36,0.81,0.54,0.56142857142857,0.8
70_443,0.83,0.31,0.52,0.47000000000000003,0.8
70_443,0.49,0.45,0.74,0.49857142857143,1.0
70_443,0.6,0.3,0.6,0.53571428571429,0.73333333333333
70_443,0.85,0.56,0.56,0.51714285714286,0.86666666666667
70_443,0.78,0.63,0.53,0.53,1.0
70_443,0.58,0.35,0.33,0.45857142857142996,0.8
70_443,0.64,0.81,0.61,0.5585714285714299,1.0
70_443,0.54,0.41,0.36,0.40857142857143,0.93333333333333
70_443,0.67,0.88,0.55,0.51857142857143,1.0
70_443,0.36,0.88,0.54,0.46285714285713997,1.0
70_443,0.58,0.41,0.46,0.48285714285714,1.0
70_443,0.5,0.76,0.83,0.53857142857143,0.86666666666667
70_443,0.79,0.53,0.38,0.47142857142857003,1.0
70_443,0.45,0.35,0.7,0.48,0.8
70_443,0.75,0.49,0.88,0.60857142857143,0.86666666666667
70_443,0.46,0.48,0.8,0.45,1.0
70_443,0.88,0.74,0.32,0.47714285714286,0.8
70_443,0.37,0.66,0.4,0.44142857142857006,0.93333333333333
70_443,0.55,0.62,0.65,0.54428571428571,0.73333333333333
70_443,0.5,0.71,0.86,0.58,0.93333333333333
70_443,0.42,0.64,0.55,0.42285714285714004,0.93333333333333
70_443,0.89,0.66,0.46,0.61,1.0
70_443,0.75,0.67,0.64,0.5914285714285701,1.0
70_443,0.87,0.86,0.74,0.61428571428571,1.0
70_443,0.37,0.61,0.86,0.46142857142856997,0.8
70_443,0.31,0.51,0.52,0.42571428571429,0.8
70_443,0.55,0.71,0.65,0.48,1.0
70_443,0.35,0.44,0.84,0.50428571428571,0.73333333333333
70_443,0.87,0.31,0.37,0.44000000000000006,1.0
70_443,0.83,0.75,0.71,0.56285714285714,1.0
70_443,0.86,0.42,0.41,0.44142857142857006,0.93333333333333
70_443,0.43,0.32,0.82,0.44285714285714006,0.93333333333333
70_443,0.47,0.85,0.47,0.5599999999999999,1.0
70_443,0.62,0.53,0.61,0.50142857142857,1.0
70_443,0.43,0.3,0.53,0.42714285714286,0.8
70_443,0.61,0.85,0.76,0.5599999999999999,0.8
70_443,0.6,0.84,0.63,0.60571428571429,1.0
70_443,0.35,0.61,0.38,0.45999999999999996,0.8
70_443,0.42,0.34,0.7,0.45999999999999996,1.0
70_443,0.31,0.43,0.64,0.39,0.86666666666667
70_443,0.67,0.35,0.6,0.48714285714286004,1.0
70_443,0.44,0.33,0.35,0.39857142857143,1.0
70_443,0.56,0.51,0.82,0.53571428571429,1.0
70_443,0.64,0.49,0.63,0.5571428571428599,1.0
70_443,0.53,0.5,0.58,0.51714285714286,1.0
70_443,0.6,0.5,0.83,0.58142857142857,1.0
70_443,0.73,0.72,0.5,0.5599999999999999,0.73333333333333
70_443,0.71,0.63,0.55,0.50571428571429,0.8
70_443,0.4,0.33,0.38,0.39714285714286,0.8
70_443,0.81,0.87,0.89,0.66714285714286,1.0
70_443,0.56,0.7,0.39,0.44142857142857006,0.8
70_443,0.48,0.51,0.39,0.48857142857143004,0.86666666666667
70_443,0.34,0.49,0.62,0.46571428571429,1.0
70_443,0.71,0.57,0.6,0.48714285714286004,0.93333333333333
70_443,0.5,0.78,0.39,0.46285714285713997,1.0
70_443,0.64,0.75,0.59,0.52857142857143,0.86666666666667
70_443,0.62,0.33,0.64,0.49428571428571005,0.86666666666667
70_443,0.8,0.4,0.81,0.54285714285714,0.73333333333333
70_443,0.33,0.73,0.72,0.47571428571429,1.0
70_443,0.88,0.77,0.53,0.52714285714286,0.73333333333333
70_443,0.71,0.31,0.37,0.45571428571428996,0.8
70_443,0.72,0.83,0.62,0.47285714285714003,0.93333333333333
