geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
89_422,0.47,0.31,0.61,0.49285714285714005,0.86666666666667
89_422,0.76,0.34,0.42,0.51,1.0
89_422,0.32,0.69,0.69,0.5928571428571401,0.73333333333333
89_422,0.41,0.62,0.41,0.50285714285714,1.0
89_422,0.82,0.63,0.82,0.53428571428571,0.86666666666667
89_422,0.59,0.49,0.72,0.51,1.0
89_422,0.69,0.6,0.7,0.52142857142857,0.73333333333333
89_422,0.43,0.69,0.33,0.45285714285714,1.0
89_422,0.58,0.7,0.37,0.48,0.73333333333333
89_422,0.52,0.51,0.86,0.46142857142856997,1.0
89_422,0.71,0.51,0.49,0.49000000000000005,0.73333333333333
89_422,0.85,0.72,0.32,0.43142857142857,1.0
89_422,0.58,0.89,0.42,0.53285714285714,0.86666666666667
89_422,0.85,0.77,0.4,0.5571428571428599,0.86666666666667
89_422,0.34,0.64,0.34,0.4,0.86666666666667
89_422,0.88,0.34,0.65,0.5571428571428599,0.8
89_422,0.75,0.79,0.62,0.5900000000000001,1.0
89_422,0.47,0.45,0.61,0.49714285714286,1.0
89_422,0.79,0.59,0.39,0.5585714285714299,0.73333333333333
89_422,0.45,0.46,0.75,0.52285714285714,0.93333333333333
89_422,0.76,0.55,0.73,0.51571428571429,0.93333333333333
89_422,0.87,0.36,0.47,0.5700000000000001,0.8
89_422,0.36,0.45,0.34,0.40714285714285997,0.93333333333333
89_422,0.85,0.57,0.6,0.5900000000000001,1.0
89_422,0.53,0.32,0.61,0.43571428571429005,0.73333333333333
89_422,0.86,0.45,0.84,0.6042857142857101,0.86666666666667
89_422,0.82,0.68,0.87,0.5742857142857101,0.93333333333333
89_422,0.59,0.69,0.49,0.44285714285714006,1.0
89_422,0.35,0.39,0.55,0.46428571428570997,0.86666666666667
89_422,0.62,0.4,0.49,0.49142857142857005,1.0
89_422,0.69,0.38,0.65,0.47714285714286,0.73333333333333
89_422,0.71,0.69,0.64,0.5871428571428601,1.0
89_422,0.56,0.86,0.61,0.5671428571428601,0.93333333333333
89_422,0.88,0.57,0.5,0.51571428571429,1.0
89_422,0.84,0.82,0.66,0.6428571428571401,1.0
89_422,0.36,0.75,0.35,0.42428571428571005,0.93333333333333
89_422,0.82,0.4,0.84,0.48428571428571,1.0
89_422,0.37,0.48,0.43,0.51285714285714,0.8
89_422,0.83,0.67,0.42,0.47857142857143,0.73333333333333
89_422,0.52,0.39,0.45,0.45142857142857,0.8
89_422,0.39,0.89,0.48,0.58285714285714,0.86666666666667
