geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
78_423,0.54,0.62,0.88,0.47142857142857003,0.8
78_423,0.74,0.3,0.74,0.46428571428570997,0.8
78_423,0.37,0.85,0.42,0.46285714285713997,0.86666666666667
78_423,0.5,0.79,0.39,0.46571428571429,1.0
78_423,0.82,0.65,0.66,0.53142857142857,0.86666666666667
78_423,0.77,0.62,0.62,0.56142857142857,1.0
78_423,0.87,0.78,0.69,0.64571428571429,0.73333333333333
78_423,0.89,0.41,0.41,0.47142857142857003,0.86666666666667
78_423,0.33,0.7,0.8,0.54428571428571,1.0
78_423,0.5,0.36,0.57,0.46714285714286,0.8
78_423,0.61,0.82,0.64,0.50714285714286,1.0
78_423,0.73,0.46,0.34,0.46428571428570997,1.0
78_423,0.31,0.87,0.53,0.52285714285714,1.0
78_423,0.43,0.53,0.68,0.47714285714286,0.86666666666667
78_423,0.89,0.75,0.84,0.54714285714286,1.0
78_423,0.46,0.83,0.89,0.6000000000000001,0.8
78_423,0.85,0.86,0.59,0.58285714285714,0.8
78_423,0.32,0.75,0.69,0.45714285714285996,0.86666666666667
78_423,0.53,0.35,0.35,0.44285714285714006,0.73333333333333
78_423,0.39,0.49,0.58,0.51142857142857,0.86666666666667
78_423,0.81,0.64,0.51,0.56571428571429,1.0
78_423,0.73,0.42,0.41,0.54285714285714,0.86666666666667
78_423,0.34,0.49,0.7,0.48142857142857,1.0
78_423,0.67,0.35,0.36,0.44285714285714006,0.86666666666667
78_423,0.85,0.75,0.68,0.5700000000000001,1.0
78_423,0.35,0.8,0.61,0.48142857142857,0.73333333333333
78_423,0.75,0.46,0.68,0.58,0.8
78_423,0.61,0.62,0.6,0.44285714285714006,0.8
78_423,0.39,0.77,0.41,0.49714285714286,1.0
78_423,0.47,0.6,0.52,0.47142857142857003,1.0
78_423,0.63,0.34,0.51,0.50714285714286,1.0
78_423,0.45,0.87,0.37,0.56285714285714,0.8
78_423,0.79,0.74,0.77,0.57714285714286,0.73333333333333
78_423,0.53,0.57,0.53,0.47285714285714003,0.8
78_423,0.72,0.45,0.46,0.48714285714286004,1.0
78_423,0.85,0.81,0.31,0.53857142857143,0.93333333333333
78_423,0.51,0.77,0.58,0.5671428571428601,0.8
78_423,0.75,0.3,0.54,0.48,1.0
78_423,0.84,0.79,0.34,0.51571428571429,0.93333333333333
78_423,0.37,0.51,0.42,0.45,0.73333333333333
78_423,0.33,0.4,0.67,0.42000000000000004,1.0
78_423,0.71,0.83,0.8,0.59571428571429,1.0
78_423,0.77,0.58,0.58,0.53857142857143,0.8
78_423,0.34,0.73,0.56,0.48714285714286004,1.0
78_423,0.64,0.6,0.35,0.52857142857143,0.93333333333333
78_423,0.43,0.4,0.83,0.51428571428571,0.93333333333333
78_423,0.3,0.87,0.61,0.42000000000000004,1.0
78_423,0.43,0.47,0.78,0.48142857142857,0.8
78_423,0.5,0.58,0.56,0.5728571428571401,0.86666666666667
78_423,0.62,0.33,0.49,0.4,0.8
78_423,0.3,0.3,0.63,0.38571428571429,0.86666666666667
78_423,0.83,0.65,0.82,0.58,1.0
78_423,0.45,0.76,0.47,0.51285714285714,0.93333333333333
78_423,0.32,0.81,0.76,0.54142857142857,0.93333333333333
78_423,0.72,0.57,0.69,0.60714285714286,1.0
78_423,0.72,0.36,0.89,0.59571428571429,1.0
78_423,0.52,0.69,0.36,0.39,0.86666666666667
78_423,0.67,0.32,0.66,0.49000000000000005,0.93333333333333
78_423,0.87,0.77,0.69,0.52857142857143,1.0
78_423,0.86,0.34,0.3,0.46571428571429,1.0
78_423,0.34,0.86,0.68,0.44571428571429,1.0
78_423,0.83,0.44,0.5,0.45714285714285996,0.93333333333333
78_423,0.87,0.84,0.52,0.55428571428571,0.8
78_423,0.4,0.68,0.67,0.45571428571428996,1.0
78_423,0.42,0.59,0.54,0.45571428571428996,1.0
78_423,0.35,0.72,0.52,0.51571428571429,0.73333333333333
78_423,0.68,0.53,0.49,0.53285714285714,1.0
78_423,0.77,0.65,0.78,0.5900000000000001,1.0
78_423,0.65,0.37,0.77,0.50142857142857,1.0
78_423,0.66,0.57,0.34,0.42000000000000004,1.0
78_423,0.79,0.83,0.64,0.6400000000000001,0.93333333333333
78_423,0.76,0.44,0.78,0.55,0.93333333333333
78_423,0.38,0.42,0.54,0.41285714285714,1.0
78_423,0.69,0.56,0.73,0.51142857142857,1.0
78_423,0.79,0.82,0.77,0.55428571428571,0.8
78_423,0.56,0.57,0.58,0.50714285714286,1.0
78_423,0.7,0.57,0.6,0.46571428571429,0.8
78_423,0.35,0.8,0.57,0.51142857142857,1.0
78_423,0.38,0.71,0.56,0.54285714285714,1.0
78_423,0.61,0.61,0.49,0.43285714285714,1.0
78_423,0.34,0.6,0.57,0.46714285714286,1.0
78_423,0.61,0.41,0.39,0.49857142857143,0.73333333333333
78_423,0.77,0.39,0.46,0.50571428571429,1.0
78_423,0.55,0.67,0.36,0.47857142857143,1.0
78_423,0.48,0.5,0.75,0.49857142857143,0.73333333333333
78_423,0.58,0.42,0.37,0.39714285714286,0.86666666666667
78_423,0.52,0.86,0.59,0.5,1.0
78_423,0.49,0.34,0.51,0.45428571428571,0.93333333333333
78_423,0.68,0.66,0.31,0.54857142857143,1.0
78_423,0.44,0.53,0.78,0.47857142857143,0.86666666666667
78_423,0.72,0.58,0.7,0.54285714285714,0.73333333333333
78_423,0.35,0.82,0.59,0.5671428571428601,1.0
78_423,0.82,0.79,0.59,0.60857142857143,0.8
78_423,0.71,0.44,0.83,0.61285714285714,1.0
78_423,0.58,0.32,0.67,0.50857142857143,0.73333333333333
78_423,0.56,0.74,0.37,0.53714285714286,1.0
78_423,0.45,0.68,0.77,0.51428571428571,0.73333333333333
78_423,0.59,0.6,0.3,0.47571428571429,0.93333333333333
78_423,0.61,0.32,0.48,0.52,0.8
78_423,0.3,0.44,0.82,0.46285714285713997,1.0
78_423,0.8,0.64,0.6,0.52,0.73333333333333
78_423,0.71,0.51,0.57,0.47000000000000003,0.93333333333333
78_423,0.84,0.45,0.88,0.55428571428571,0.8
78_423,0.73,0.71,0.76,0.52714285714286,0.86666666666667
78_423,0.49,0.38,0.64,0.48857142857143004,1.0
78_423,0.41,0.8,0.61,0.49142857142857005,0.86666666666667
78_423,0.76,0.41,0.33,0.46714285714286,1.0
78_423,0.75,0.38,0.37,0.43428571428571,0.93333333333333
78_423,0.36,0.65,0.36,0.51714285714286,1.0
78_423,0.57,0.84,0.51,0.49857142857143,1.0
78_423,0.51,0.52,0.64,0.48285714285714,1.0
78_423,0.56,0.62,0.56,0.43285714285714,0.8
78_423,0.78,0.42,0.85,0.53857142857143,0.93333333333333
78_423,0.49,0.76,0.58,0.47428571428571004,1.0
78_423,0.84,0.41,0.7,0.52714285714286,0.93333333333333
78_423,0.51,0.68,0.49,0.47857142857143,1.0
78_423,0.34,0.82,0.63,0.56428571428571,0.73333333333333
78_423,0.41,0.4,0.64,0.50571428571429,0.73333333333333
78_423,0.35,0.7,0.54,0.50285714285714,1.0
78_423,0.43,0.84,0.48,0.51428571428571,0.93333333333333
78_423,0.41,0.58,0.77,0.53428571428571,1.0
78_423,0.72,0.66,0.47,0.48142857142857,0.86666666666667
78_423,0.56,0.78,0.35,0.49142857142857005,1.0
78_423,0.35,0.45,0.63,0.44714285714286,1.0
78_423,0.89,0.52,0.83,0.5671428571428601,0.86666666666667
78_423,0.73,0.51,0.36,0.52285714285714,0.73333333333333
78_423,0.63,0.83,0.4,0.50857142857143,0.86666666666667
78_423,0.69,0.33,0.52,0.45,0.93333333333333
78_423,0.52,0.63,0.32,0.45142857142857,0.73333333333333
78_423,0.87,0.76,0.62,0.57714285714286,1.0
78_423,0.45,0.88,0.71,0.5585714285714299,1.0
78_423,0.43,0.73,0.79,0.45999999999999996,0.73333333333333
78_423,0.77,0.8,0.63,0.59714285714286,0.8
78_423,0.6,0.41,0.7,0.52714285714286,1.0
78_423,0.35,0.37,0.62,0.47857142857143,0.93333333333333
78_423,0.55,0.51,0.37,0.41142857142857,0.93333333333333
78_423,0.38,0.7,0.64,0.51857142857143,1.0
78_423,0.79,0.4,0.38,0.47142857142857003,0.8
78_423,0.84,0.62,0.77,0.49428571428571005,0.86666666666667
78_423,0.52,0.85,0.87,0.63142857142857,0.93333333333333
78_423,0.76,0.4,0.76,0.5671428571428601,1.0
78_423,0.53,0.32,0.82,0.46142857142856997,0.93333333333333
78_423,0.81,0.59,0.88,0.61142857142857,1.0
78_423,0.77,0.36,0.53,0.5557142857142899,0.73333333333333
78_423,0.82,0.8,0.51,0.51714285714286,1.0
78_423,0.47,0.62,0.81,0.5685714285714301,1.0
78_423,0.71,0.71,0.8,0.53285714285714,1.0
78_423,0.81,0.41,0.3,0.37285714285714,0.93333333333333
78_423,0.51,0.31,0.31,0.44428571428571006,1.0
78_423,0.65,0.73,0.81,0.49285714285714005,0.86666666666667
78_423,0.54,0.42,0.51,0.39714285714286,0.86666666666667
78_423,0.87,0.72,0.78,0.58285714285714,0.86666666666667
78_423,0.58,0.82,0.66,0.59857142857143,1.0
78_423,0.85,0.32,0.56,0.53857142857143,1.0
78_423,0.59,0.47,0.62,0.56285714285714,1.0
78_423,0.77,0.73,0.6,0.54142857142857,1.0
78_423,0.83,0.45,0.42,0.47714285714286,0.73333333333333
78_423,0.89,0.3,0.48,0.52428571428571,0.93333333333333
78_423,0.37,0.57,0.32,0.43,1.0
78_423,0.42,0.31,0.37,0.37000000000000005,0.93333333333333
78_423,0.74,0.69,0.32,0.58142857142857,1.0
78_423,0.58,0.87,0.38,0.45142857142857,0.73333333333333
78_423,0.87,0.41,0.47,0.53142857142857,1.0
78_423,0.47,0.51,0.32,0.45571428571428996,1.0
78_423,0.57,0.48,0.56,0.40428571428571003,0.86666666666667
78_423,0.53,0.72,0.43,0.47000000000000003,0.8
78_423,0.46,0.46,0.52,0.43285714285714,0.8
78_423,0.6,0.66,0.83,0.58285714285714,1.0
78_423,0.65,0.69,0.79,0.53714285714286,0.93333333333333
78_423,0.78,0.51,0.5,0.54428571428571,0.8
78_423,0.53,0.44,0.72,0.53857142857143,1.0
78_423,0.3,0.53,0.71,0.48285714285714,0.73333333333333
78_423,0.72,0.73,0.79,0.66142857142857,1.0
78_423,0.41,0.65,0.7,0.41714285714286004,1.0
78_423,0.56,0.44,0.58,0.5599999999999999,0.73333333333333
78_423,0.58,0.45,0.75,0.55285714285714,0.73333333333333
78_423,0.56,0.78,0.46,0.50857142857143,0.93333333333333
78_423,0.37,0.4,0.67,0.42000000000000004,0.86666666666667
78_423,0.35,0.81,0.62,0.48285714285714,0.8
78_423,0.42,0.58,0.34,0.36000000000000004,1.0
78_423,0.36,0.88,0.89,0.58,1.0
78_423,0.58,0.74,0.52,0.53142857142857,0.93333333333333
78_423,0.35,0.74,0.34,0.35714285714286004,1.0
78_423,0.41,0.5,0.53,0.49714285714286,1.0
78_423,0.47,0.3,0.76,0.48857142857143004,1.0
78_423,0.83,0.73,0.81,0.68857142857143,1.0
78_423,0.47,0.34,0.32,0.43857142857143006,1.0
78_423,0.59,0.65,0.89,0.58142857142857,0.93333333333333
78_423,0.32,0.57,0.8,0.46285714285713997,1.0
78_423,0.49,0.51,0.57,0.49000000000000005,0.8
78_423,0.53,0.75,0.89,0.65,1.0
78_423,0.67,0.82,0.6,0.56285714285714,0.8
78_423,0.77,0.55,0.38,0.44000000000000006,0.93333333333333
78_423,0.33,0.86,0.74,0.44857142857143,1.0
78_423,0.3,0.62,0.31,0.49000000000000005,0.73333333333333
78_423,0.73,0.89,0.3,0.45999999999999996,0.93333333333333
78_423,0.52,0.85,0.53,0.46857142857143,1.0
78_423,0.57,0.68,0.58,0.53571428571429,0.8
78_423,0.58,0.58,0.41,0.45,1.0
78_423,0.59,0.75,0.89,0.63142857142857,1.0
78_423,0.86,0.86,0.38,0.49000000000000005,1.0
78_423,0.31,0.54,0.32,0.42428571428571005,1.0
78_423,0.77,0.7,0.49,0.46571428571429,1.0
78_423,0.59,0.83,0.89,0.63142857142857,1.0
78_423,0.65,0.58,0.47,0.48,0.8
78_423,0.42,0.35,0.3,0.38857142857143,0.93333333333333
78_423,0.87,0.4,0.82,0.48857142857143004,1.0
78_423,0.66,0.43,0.72,0.6014285714285701,0.8
78_423,0.33,0.58,0.8,0.55285714285714,1.0
78_423,0.54,0.75,0.35,0.55428571428571,0.73333333333333
78_423,0.48,0.52,0.82,0.52,1.0
78_423,0.64,0.83,0.73,0.6357142857142901,0.86666666666667
78_423,0.4,0.57,0.56,0.48285714285714,1.0
78_423,0.73,0.63,0.3,0.54571428571429,1.0
78_423,0.63,0.36,0.72,0.5914285714285701,1.0
78_423,0.64,0.65,0.69,0.52857142857143,0.73333333333333
78_423,0.75,0.46,0.36,0.5,0.8
78_423,0.87,0.51,0.66,0.5557142857142899,1.0
78_423,0.75,0.65,0.32,0.50285714285714,0.8
78_423,0.89,0.77,0.69,0.66857142857143,0.73333333333333
78_423,0.8,0.88,0.42,0.53428571428571,1.0
78_423,0.81,0.39,0.83,0.55142857142857,1.0
78_423,0.45,0.73,0.37,0.45857142857142996,1.0
78_423,0.32,0.34,0.8,0.40571428571428997,1.0
78_423,0.48,0.76,0.89,0.5742857142857101,0.93333333333333
78_423,0.72,0.82,0.78,0.57571428571429,1.0
