geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
95_457,0.56,0.8,0.46,0.52571428571429,0.93333333333333
95_457,0.72,0.46,0.69,0.53285714285714,1.0
95_457,0.66,0.59,0.77,0.50142857142857,0.73333333333333
95_457,0.69,0.34,0.44,0.45,1.0
95_457,0.51,0.44,0.7,0.48285714285714,0.86666666666667
95_457,0.41,0.67,0.84,0.50857142857143,1.0
95_457,0.37,0.68,0.68,0.44571428571429,0.8
95_457,0.6,0.66,0.83,0.60571428571429,1.0
95_457,0.79,0.82,0.35,0.55428571428571,0.73333333333333
95_457,0.72,0.7,0.52,0.52285714285714,1.0
95_457,0.63,0.83,0.87,0.6014285714285701,0.86666666666667
95_457,0.73,0.47,0.62,0.55285714285714,0.93333333333333
95_457,0.74,0.3,0.57,0.44000000000000006,1.0
95_457,0.47,0.33,0.56,0.49000000000000005,1.0
95_457,0.42,0.4,0.53,0.48142857142857,1.0
95_457,0.31,0.33,0.53,0.43714285714286005,1.0
95_457,0.54,0.3,0.8,0.43142857142857,0.86666666666667
95_457,0.34,0.36,0.82,0.38428571428571,1.0
95_457,0.35,0.72,0.74,0.5671428571428601,0.93333333333333
95_457,0.55,0.51,0.75,0.5928571428571401,1.0
95_457,0.34,0.34,0.87,0.46428571428570997,0.86666666666667
95_457,0.73,0.43,0.54,0.52285714285714,0.8
95_457,0.7,0.41,0.69,0.46857142857143,1.0
95_457,0.68,0.38,0.35,0.51857142857143,1.0
95_457,0.82,0.87,0.86,0.67142857142857,1.0
95_457,0.71,0.48,0.78,0.58428571428571,1.0
95_457,0.47,0.58,0.77,0.54571428571429,0.86666666666667
95_457,0.44,0.65,0.61,0.50857142857143,0.93333333333333
95_457,0.71,0.48,0.43,0.51571428571429,1.0
95_457,0.32,0.57,0.47,0.44285714285714006,1.0
95_457,0.37,0.65,0.59,0.45,1.0
95_457,0.7,0.31,0.86,0.51,0.73333333333333
95_457,0.47,0.88,0.68,0.49428571428571005,0.93333333333333
95_457,0.42,0.7,0.46,0.5742857142857101,0.86666666666667
95_457,0.67,0.48,0.56,0.46285714285713997,1.0
95_457,0.58,0.31,0.76,0.48,0.73333333333333
95_457,0.52,0.41,0.49,0.49285714285714005,0.8
95_457,0.31,0.89,0.54,0.45428571428571,1.0
