geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
109_453,0.86,0.36,0.69,0.54714285714286,0.93333333333333
109_453,0.42,0.84,0.66,0.5742857142857101,1.0
109_453,0.73,0.46,0.57,0.53285714285714,0.93333333333333
109_453,0.73,0.65,0.41,0.53857142857143,0.73333333333333
109_453,0.83,0.34,0.36,0.52857142857143,1.0
109_453,0.77,0.55,0.72,0.53285714285714,0.93333333333333
109_453,0.76,0.36,0.56,0.48571428571429004,1.0
109_453,0.31,0.56,0.32,0.34285714285714003,1.0
109_453,0.53,0.35,0.36,0.42000000000000004,0.86666666666667
109_453,0.3,0.7,0.8,0.54714285714286,1.0
109_453,0.55,0.39,0.49,0.43571428571429005,0.73333333333333
109_453,0.53,0.44,0.82,0.42571428571429,1.0
109_453,0.81,0.3,0.79,0.53857142857143,0.86666666666667
109_453,0.68,0.63,0.67,0.53428571428571,1.0
109_453,0.52,0.53,0.86,0.53,1.0
109_453,0.7,0.52,0.3,0.43571428571429005,1.0
109_453,0.5,0.76,0.53,0.56571428571429,1.0
109_453,0.41,0.52,0.71,0.47857142857143,0.93333333333333
109_453,0.67,0.46,0.58,0.50857142857143,1.0
109_453,0.56,0.89,0.33,0.50714285714286,1.0
109_453,0.46,0.85,0.62,0.6171428571428601,0.73333333333333
109_453,0.81,0.51,0.49,0.48714285714286004,0.93333333333333
109_453,0.85,0.79,0.82,0.61,0.73333333333333
109_453,0.38,0.4,0.32,0.41285714285714,0.8
109_453,0.55,0.56,0.53,0.47714285714286,1.0
109_453,0.47,0.4,0.43,0.45571428571428996,1.0
109_453,0.59,0.64,0.83,0.44000000000000006,0.73333333333333
109_453,0.7,0.79,0.4,0.49857142857143,1.0
109_453,0.58,0.8,0.59,0.52714285714286,1.0
109_453,0.58,0.5,0.54,0.52428571428571,0.8
109_453,0.72,0.33,0.7,0.52714285714286,0.8
109_453,0.77,0.83,0.35,0.45571428571428996,1.0
109_453,0.38,0.55,0.43,0.4,0.73333333333333
109_453,0.32,0.57,0.85,0.58142857142857,0.8
109_453,0.6,0.76,0.81,0.52285714285714,1.0
109_453,0.77,0.52,0.75,0.51571428571429,1.0
109_453,0.57,0.58,0.67,0.52857142857143,0.93333333333333
109_453,0.89,0.77,0.68,0.60571428571429,1.0
109_453,0.33,0.3,0.81,0.47285714285714003,1.0
109_453,0.32,0.79,0.47,0.47285714285714003,0.8
109_453,0.87,0.77,0.51,0.57857142857143,0.8
109_453,0.66,0.31,0.48,0.45285714285714,0.8
109_453,0.84,0.54,0.36,0.43714285714286005,0.8
109_453,0.85,0.48,0.79,0.54571428571429,1.0
109_453,0.49,0.54,0.88,0.50428571428571,1.0
109_453,0.72,0.75,0.35,0.53,0.93333333333333
109_453,0.64,0.84,0.78,0.55142857142857,1.0
109_453,0.43,0.86,0.66,0.58285714285714,0.93333333333333
109_453,0.63,0.51,0.35,0.49857142857143,0.93333333333333
109_453,0.7,0.31,0.66,0.45142857142857,1.0
109_453,0.61,0.85,0.72,0.51,0.73333333333333
109_453,0.58,0.6,0.32,0.49714285714286,0.93333333333333
109_453,0.71,0.48,0.6,0.55428571428571,1.0
109_453,0.5,0.82,0.69,0.54285714285714,0.86666666666667
109_453,0.48,0.43,0.69,0.50857142857143,1.0
109_453,0.61,0.35,0.8,0.49571428571429,0.86666666666667
109_453,0.44,0.86,0.3,0.47857142857143,1.0
109_453,0.55,0.82,0.51,0.46285714285713997,1.0
109_453,0.77,0.35,0.85,0.54571428571429,1.0
109_453,0.77,0.35,0.68,0.5557142857142899,0.8
109_453,0.49,0.41,0.42,0.43571428571429005,0.93333333333333
109_453,0.38,0.3,0.41,0.35285714285714004,1.0
109_453,0.83,0.6,0.65,0.46857142857143,1.0
109_453,0.63,0.36,0.67,0.50857142857143,1.0
109_453,0.87,0.69,0.43,0.51428571428571,0.93333333333333
109_453,0.4,0.33,0.84,0.38714285714286,0.86666666666667
109_453,0.83,0.85,0.4,0.53,1.0
109_453,0.32,0.31,0.35,0.36857142857143005,0.93333333333333
