geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
105_438,0.44,0.32,0.83,0.49714285714286,0.86666666666667
105_438,0.38,0.84,0.53,0.49428571428571005,0.93333333333333
105_438,0.76,0.72,0.44,0.49285714285714005,1.0
105_438,0.61,0.5,0.47,0.52,1.0
105_438,0.63,0.33,0.82,0.55428571428571,0.73333333333333
105_438,0.33,0.88,0.42,0.42142857142857004,0.93333333333333
105_438,0.48,0.45,0.69,0.40285714285714,1.0
105_438,0.88,0.37,0.86,0.51285714285714,0.8
105_438,0.3,0.43,0.46,0.37428571428571,0.73333333333333
105_438,0.52,0.49,0.52,0.44285714285714006,1.0
105_438,0.72,0.58,0.83,0.51,0.93333333333333
105_438,0.73,0.48,0.88,0.5685714285714301,0.93333333333333
105_438,0.51,0.79,0.65,0.57571428571429,1.0
105_438,0.58,0.7,0.57,0.48285714285714,1.0
105_438,0.84,0.61,0.57,0.54,0.73333333333333
105_438,0.87,0.87,0.57,0.6171428571428601,1.0
105_438,0.77,0.72,0.63,0.62714285714286,0.8
105_438,0.31,0.65,0.61,0.52285714285714,1.0
105_438,0.63,0.59,0.54,0.47142857142857003,0.8
105_438,0.35,0.72,0.8,0.52571428571429,0.86666666666667
105_438,0.35,0.61,0.49,0.47142857142857003,1.0
105_438,0.63,0.82,0.75,0.6414285714285701,0.73333333333333
105_438,0.63,0.48,0.63,0.43571428571429005,1.0
105_438,0.67,0.69,0.33,0.39142857142857,0.8
105_438,0.74,0.72,0.75,0.58428571428571,0.93333333333333
105_438,0.74,0.82,0.68,0.6385714285714301,1.0
105_438,0.71,0.71,0.6,0.61142857142857,0.86666666666667
105_438,0.73,0.74,0.43,0.50857142857143,0.8
105_438,0.87,0.59,0.8,0.54857142857143,1.0
105_438,0.55,0.56,0.87,0.49285714285714005,0.86666666666667
105_438,0.6,0.32,0.52,0.43,1.0
105_438,0.82,0.6,0.3,0.42142857142857004,0.8
105_438,0.47,0.84,0.83,0.56428571428571,0.93333333333333
105_438,0.76,0.51,0.56,0.55142857142857,0.93333333333333
105_438,0.64,0.32,0.61,0.51714285714286,0.8
105_438,0.62,0.73,0.51,0.53428571428571,1.0
105_438,0.37,0.36,0.85,0.40428571428571003,0.93333333333333
105_438,0.88,0.49,0.72,0.57714285714286,0.93333333333333
105_438,0.42,0.31,0.86,0.44142857142857006,0.86666666666667
105_438,0.73,0.61,0.6,0.59857142857143,0.86666666666667
105_438,0.48,0.83,0.53,0.52428571428571,0.93333333333333
105_438,0.32,0.4,0.4,0.41285714285714,0.93333333333333
105_438,0.53,0.45,0.72,0.54714285714286,0.93333333333333
105_438,0.41,0.85,0.87,0.47142857142857003,1.0
105_438,0.57,0.84,0.73,0.48857142857143004,1.0
105_438,0.59,0.33,0.44,0.43,1.0
105_438,0.34,0.83,0.88,0.53428571428571,0.86666666666667
