geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
118_448,0.46,0.45,0.47,0.47857142857143,1.0
118_448,0.34,0.31,0.53,0.40571428571428997,1.0
118_448,0.52,0.41,0.54,0.49857142857143,1.0
118_448,0.34,0.76,0.58,0.50571428571429,0.93333333333333
118_448,0.5,0.75,0.32,0.41428571428571,1.0
118_448,0.57,0.53,0.88,0.48,0.86666666666667
118_448,0.87,0.65,0.58,0.48285714285714,0.86666666666667
118_448,0.62,0.42,0.55,0.49000000000000005,0.73333333333333
118_448,0.65,0.67,0.48,0.50285714285714,1.0
118_448,0.76,0.89,0.65,0.55285714285714,1.0
118_448,0.64,0.55,0.62,0.50714285714286,0.8
118_448,0.76,0.4,0.31,0.36285714285714005,0.8
118_448,0.78,0.89,0.33,0.53428571428571,1.0
118_448,0.74,0.65,0.89,0.62571428571429,0.8
118_448,0.42,0.69,0.71,0.50428571428571,0.93333333333333
118_448,0.41,0.33,0.41,0.44428571428571006,1.0
118_448,0.59,0.79,0.77,0.5928571428571401,0.73333333333333
118_448,0.8,0.41,0.72,0.50142857142857,1.0
118_448,0.82,0.75,0.35,0.5742857142857101,0.86666666666667
118_448,0.5,0.75,0.46,0.57857142857143,1.0
118_448,0.8,0.58,0.58,0.6028571428571401,0.8
118_448,0.81,0.6,0.45,0.48285714285714,0.73333333333333
118_448,0.5,0.56,0.71,0.46714285714286,0.93333333333333
118_448,0.4,0.79,0.55,0.48,0.8
118_448,0.84,0.75,0.57,0.6228571428571401,1.0
118_448,0.41,0.69,0.64,0.5,0.8
118_448,0.74,0.34,0.8,0.52857142857143,1.0
118_448,0.42,0.47,0.45,0.50428571428571,0.8
118_448,0.59,0.56,0.47,0.40428571428571003,0.8
118_448,0.44,0.42,0.75,0.56285714285714,0.86666666666667
118_448,0.4,0.49,0.39,0.42857142857143,0.8
118_448,0.62,0.41,0.31,0.44714285714286,1.0
118_448,0.34,0.81,0.74,0.49857142857143,0.8
118_448,0.83,0.73,0.8,0.6014285714285701,1.0
118_448,0.62,0.69,0.87,0.54285714285714,1.0
118_448,0.84,0.77,0.79,0.52571428571429,1.0
118_448,0.49,0.54,0.89,0.55,0.86666666666667
118_448,0.56,0.35,0.67,0.45571428571428996,1.0
118_448,0.37,0.83,0.4,0.54,0.73333333333333
118_448,0.32,0.72,0.67,0.50428571428571,0.73333333333333
118_448,0.82,0.89,0.89,0.58428571428571,0.8
118_448,0.64,0.36,0.73,0.50714285714286,0.8
118_448,0.62,0.89,0.77,0.58142857142857,0.93333333333333
118_448,0.38,0.67,0.44,0.46857142857143,1.0
118_448,0.47,0.82,0.34,0.49857142857143,0.93333333333333
118_448,0.55,0.73,0.63,0.48714285714286004,1.0
118_448,0.6,0.84,0.32,0.51285714285714,0.73333333333333
118_448,0.87,0.71,0.66,0.5685714285714301,0.8
118_448,0.55,0.55,0.48,0.49571428571429,1.0
118_448,0.48,0.68,0.88,0.55142857142857,1.0
118_448,0.36,0.83,0.43,0.5671428571428601,0.86666666666667
118_448,0.44,0.88,0.47,0.47000000000000003,1.0
118_448,0.61,0.75,0.76,0.59857142857143,0.93333333333333
118_448,0.66,0.74,0.32,0.52,0.8
118_448,0.79,0.78,0.82,0.58285714285714,1.0
118_448,0.53,0.75,0.37,0.51857142857143,0.8
118_448,0.76,0.77,0.32,0.53571428571429,1.0
118_448,0.53,0.53,0.84,0.42142857142857004,1.0
118_448,0.75,0.55,0.53,0.6028571428571401,0.73333333333333
118_448,0.5,0.76,0.45,0.5728571428571401,0.86666666666667
118_448,0.62,0.69,0.71,0.51857142857143,1.0
118_448,0.47,0.5,0.67,0.40857142857143,0.93333333333333
118_448,0.85,0.8,0.74,0.57714285714286,0.93333333333333
118_448,0.43,0.3,0.86,0.5585714285714299,0.8
118_448,0.54,0.81,0.43,0.42714285714286,1.0
118_448,0.89,0.4,0.72,0.55,0.93333333333333
118_448,0.84,0.7,0.4,0.49285714285714005,1.0
118_448,0.59,0.45,0.63,0.50142857142857,1.0
118_448,0.55,0.55,0.62,0.45999999999999996,1.0
118_448,0.8,0.76,0.73,0.53857142857143,1.0
