geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
75_442,0.6,0.54,0.73,0.5599999999999999,0.93333333333333
75_442,0.55,0.57,0.32,0.44714285714286,1.0
75_442,0.46,0.42,0.41,0.44857142857143,0.93333333333333
75_442,0.88,0.89,0.45,0.58,1.0
75_442,0.69,0.42,0.37,0.49285714285714005,1.0
75_442,0.66,0.58,0.49,0.46142857142856997,1.0
75_442,0.77,0.34,0.35,0.38428571428571,1.0
75_442,0.32,0.43,0.7,0.49571428571429,0.73333333333333
75_442,0.55,0.3,0.65,0.44714285714286,1.0
75_442,0.66,0.45,0.74,0.44428571428571006,0.86666666666667
75_442,0.76,0.66,0.39,0.52857142857143,1.0
75_442,0.73,0.63,0.88,0.55142857142857,1.0
75_442,0.47,0.38,0.78,0.41,1.0
75_442,0.61,0.69,0.82,0.5557142857142899,0.73333333333333
75_442,0.51,0.65,0.8,0.52285714285714,1.0
75_442,0.75,0.57,0.46,0.43428571428571,0.93333333333333
75_442,0.43,0.3,0.82,0.55142857142857,0.8
75_442,0.74,0.8,0.5,0.54571428571429,0.86666666666667
75_442,0.44,0.67,0.56,0.54857142857143,0.86666666666667
75_442,0.53,0.75,0.35,0.40857142857143,1.0
75_442,0.77,0.68,0.73,0.6014285714285701,1.0
75_442,0.37,0.35,0.4,0.45571428571428996,1.0
75_442,0.6,0.75,0.56,0.55,0.8
75_442,0.55,0.37,0.74,0.45857142857142996,0.73333333333333
75_442,0.33,0.51,0.59,0.36857142857143005,0.86666666666667
75_442,0.7,0.45,0.76,0.51142857142857,0.93333333333333
75_442,0.78,0.42,0.62,0.59571428571429,0.73333333333333
75_442,0.38,0.47,0.7,0.54,0.8
75_442,0.61,0.51,0.63,0.52142857142857,1.0
75_442,0.79,0.66,0.51,0.49571428571429,0.73333333333333
75_442,0.77,0.34,0.44,0.47571428571429,1.0
75_442,0.34,0.82,0.51,0.47428571428571004,0.73333333333333
75_442,0.57,0.77,0.45,0.49428571428571005,1.0
75_442,0.64,0.58,0.74,0.47285714285714003,1.0
75_442,0.58,0.88,0.32,0.47714285714286,1.0
75_442,0.35,0.63,0.73,0.49857142857143,0.93333333333333
75_442,0.64,0.59,0.43,0.53571428571429,0.73333333333333
75_442,0.33,0.58,0.37,0.38428571428571,1.0
75_442,0.44,0.71,0.73,0.53142857142857,0.8
75_442,0.49,0.53,0.7,0.43285714285714,1.0
75_442,0.34,0.65,0.56,0.47571428571429,0.8
75_442,0.39,0.36,0.31,0.42857142857143,1.0
75_442,0.8,0.69,0.65,0.5942857142857101,0.73333333333333
75_442,0.88,0.3,0.42,0.5685714285714301,0.8
75_442,0.89,0.89,0.59,0.5557142857142899,0.93333333333333
75_442,0.51,0.63,0.56,0.52142857142857,1.0
75_442,0.73,0.5,0.43,0.51,0.93333333333333
75_442,0.74,0.83,0.62,0.56285714285714,1.0
75_442,0.82,0.42,0.83,0.52,1.0
75_442,0.75,0.73,0.62,0.50142857142857,1.0
75_442,0.68,0.72,0.74,0.54,0.93333333333333
75_442,0.62,0.75,0.3,0.51,0.73333333333333
75_442,0.77,0.77,0.86,0.6228571428571401,1.0
75_442,0.74,0.75,0.32,0.53,0.93333333333333
75_442,0.33,0.48,0.56,0.44857142857143,1.0
75_442,0.6,0.32,0.56,0.41857142857143004,0.73333333333333
75_442,0.74,0.4,0.65,0.49142857142857005,1.0
75_442,0.68,0.64,0.85,0.52285714285714,1.0
75_442,0.33,0.42,0.58,0.42857142857143,0.86666666666667
75_442,0.56,0.75,0.69,0.60571428571429,1.0
75_442,0.84,0.56,0.41,0.48142857142857,0.73333333333333
75_442,0.46,0.61,0.79,0.54,1.0
75_442,0.38,0.5,0.38,0.39428571428571,1.0
75_442,0.76,0.35,0.7,0.53857142857143,1.0
75_442,0.62,0.61,0.57,0.49714285714286,0.8
75_442,0.3,0.82,0.63,0.5728571428571401,1.0
75_442,0.37,0.53,0.4,0.46142857142856997,0.73333333333333
75_442,0.74,0.64,0.66,0.6385714285714301,1.0
75_442,0.83,0.89,0.35,0.54857142857143,0.86666666666667
75_442,0.67,0.32,0.53,0.48857142857143004,0.86666666666667
75_442,0.74,0.83,0.89,0.6242857142857101,0.86666666666667
75_442,0.53,0.84,0.59,0.52857142857143,0.93333333333333
75_442,0.36,0.34,0.63,0.48,0.73333333333333
75_442,0.38,0.78,0.63,0.48,1.0
75_442,0.46,0.59,0.8,0.54571428571429,1.0
75_442,0.74,0.76,0.46,0.5571428571428599,1.0
75_442,0.69,0.87,0.5,0.5,1.0
75_442,0.42,0.44,0.44,0.47571428571429,0.93333333333333
75_442,0.76,0.87,0.37,0.54857142857143,0.8
75_442,0.33,0.66,0.49,0.51428571428571,1.0
75_442,0.35,0.72,0.76,0.5857142857142901,0.8
75_442,0.54,0.45,0.55,0.50714285714286,0.8
75_442,0.42,0.46,0.49,0.42571428571429,1.0
75_442,0.6,0.3,0.56,0.41571428571429003,0.73333333333333
75_442,0.32,0.68,0.74,0.47714285714286,1.0
75_442,0.32,0.51,0.81,0.43571428571429005,1.0
75_442,0.53,0.56,0.5,0.44000000000000006,1.0
75_442,0.87,0.78,0.78,0.5585714285714299,0.93333333333333
75_442,0.78,0.46,0.43,0.51428571428571,1.0
75_442,0.81,0.64,0.36,0.47857142857143,1.0
75_442,0.8,0.6,0.36,0.53571428571429,0.93333333333333
75_442,0.83,0.57,0.73,0.57571428571429,0.8
