geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
81_443,0.42,0.62,0.41,0.48428571428571,0.86666666666667
81_443,0.67,0.61,0.56,0.53142857142857,0.73333333333333
81_443,0.45,0.71,0.74,0.49428571428571005,1.0
81_443,0.36,0.82,0.85,0.48285714285714,0.86666666666667
81_443,0.52,0.84,0.57,0.51142857142857,0.93333333333333
81_443,0.62,0.37,0.45,0.49571428571429,0.73333333333333
81_443,0.46,0.72,0.77,0.53857142857143,0.86666666666667
81_443,0.82,0.79,0.78,0.53285714285714,0.86666666666667
81_443,0.75,0.4,0.67,0.48,1.0
81_443,0.55,0.89,0.33,0.50142857142857,0.86666666666667
81_443,0.31,0.36,0.5,0.44000000000000006,1.0
81_443,0.63,0.34,0.79,0.48142857142857,0.93333333333333
81_443,0.82,0.57,0.57,0.55285714285714,0.93333333333333
81_443,0.59,0.6,0.6,0.47285714285714003,0.86666666666667
81_443,0.46,0.72,0.6,0.45571428571428996,0.73333333333333
81_443,0.45,0.64,0.39,0.39714285714286,0.8
81_443,0.39,0.66,0.83,0.53857142857143,1.0
81_443,0.36,0.37,0.82,0.44285714285714006,1.0
81_443,0.48,0.63,0.7,0.48,0.8
81_443,0.63,0.54,0.67,0.41285714285714,0.86666666666667
81_443,0.55,0.68,0.75,0.50428571428571,0.86666666666667
81_443,0.63,0.69,0.69,0.52857142857143,1.0
81_443,0.76,0.8,0.68,0.61285714285714,0.8
81_443,0.6,0.7,0.51,0.48714285714286004,1.0
81_443,0.82,0.43,0.46,0.49857142857143,1.0
81_443,0.84,0.62,0.34,0.48714285714286004,1.0
81_443,0.6,0.3,0.55,0.47142857142857003,0.93333333333333
81_443,0.58,0.55,0.42,0.40714285714285997,0.8
81_443,0.55,0.67,0.36,0.53142857142857,1.0
81_443,0.3,0.54,0.61,0.37285714285714,0.86666666666667
81_443,0.82,0.5,0.57,0.52142857142857,1.0
81_443,0.88,0.35,0.47,0.54142857142857,0.8
81_443,0.49,0.58,0.83,0.46285714285713997,0.86666666666667
81_443,0.64,0.49,0.42,0.4,1.0
81_443,0.31,0.59,0.64,0.51857142857143,1.0
81_443,0.57,0.69,0.57,0.60857142857143,1.0
81_443,0.43,0.71,0.86,0.51,0.8
81_443,0.69,0.54,0.77,0.52428571428571,1.0
81_443,0.48,0.3,0.84,0.43142857142857,1.0
81_443,0.64,0.35,0.71,0.47857142857143,1.0
81_443,0.46,0.73,0.68,0.48571428571429004,0.8
81_443,0.79,0.63,0.45,0.52428571428571,0.86666666666667
81_443,0.77,0.52,0.53,0.6042857142857101,1.0
81_443,0.31,0.64,0.53,0.37285714285714,0.8
81_443,0.78,0.32,0.76,0.48857142857143004,0.93333333333333
81_443,0.6,0.37,0.47,0.46428571428570997,0.8
81_443,0.37,0.58,0.72,0.46285714285713997,1.0
81_443,0.77,0.72,0.4,0.43714285714286005,0.8
81_443,0.46,0.53,0.35,0.40714285714285997,0.86666666666667
81_443,0.51,0.52,0.71,0.49142857142857005,0.93333333333333
81_443,0.85,0.52,0.41,0.55285714285714,1.0
81_443,0.61,0.76,0.87,0.54571428571429,1.0
81_443,0.31,0.41,0.57,0.38571428571429,1.0
81_443,0.49,0.46,0.44,0.49714285714286,0.8
81_443,0.33,0.78,0.59,0.44714285714286,0.8
81_443,0.68,0.71,0.75,0.6385714285714301,1.0
81_443,0.35,0.89,0.49,0.43,1.0
81_443,0.41,0.83,0.66,0.54857142857143,1.0
81_443,0.32,0.42,0.49,0.41,0.86666666666667
81_443,0.75,0.71,0.3,0.50571428571429,1.0
81_443,0.4,0.62,0.75,0.50142857142857,0.73333333333333
81_443,0.83,0.7,0.85,0.5885714285714301,0.93333333333333
81_443,0.61,0.3,0.56,0.45571428571428996,0.86666666666667
81_443,0.44,0.5,0.63,0.48571428571429004,0.93333333333333
81_443,0.83,0.59,0.3,0.53571428571429,0.93333333333333
81_443,0.64,0.75,0.48,0.46285714285713997,0.8
81_443,0.77,0.34,0.35,0.41857142857143004,1.0
81_443,0.38,0.77,0.47,0.46142857142856997,1.0
81_443,0.82,0.64,0.86,0.5557142857142899,0.73333333333333
81_443,0.79,0.41,0.76,0.55142857142857,1.0
81_443,0.86,0.57,0.31,0.5671428571428601,0.73333333333333
81_443,0.59,0.79,0.85,0.59571428571429,0.93333333333333
81_443,0.58,0.63,0.74,0.54857142857143,0.8
81_443,0.48,0.5,0.44,0.45142857142857,0.8
81_443,0.32,0.36,0.87,0.42428571428571005,0.86666666666667
81_443,0.83,0.65,0.67,0.53,1.0
81_443,0.33,0.74,0.49,0.43714285714286005,0.86666666666667
81_443,0.36,0.58,0.69,0.5671428571428601,1.0
81_443,0.88,0.36,0.88,0.51428571428571,0.8
81_443,0.38,0.36,0.62,0.47428571428571004,1.0
