geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
101_434,0.7,0.66,0.65,0.50571428571429,0.8
101_434,0.43,0.84,0.87,0.6185714285714301,1.0
101_434,0.51,0.69,0.64,0.51285714285714,0.73333333333333
101_434,0.76,0.36,0.49,0.42142857142857004,1.0
101_434,0.71,0.78,0.45,0.5914285714285701,0.93333333333333
101_434,0.87,0.44,0.84,0.57857142857143,1.0
101_434,0.82,0.77,0.88,0.66571428571429,1.0
101_434,0.39,0.8,0.76,0.53285714285714,0.93333333333333
101_434,0.41,0.49,0.89,0.46571428571429,1.0
101_434,0.48,0.45,0.46,0.49285714285714005,0.73333333333333
101_434,0.76,0.38,0.81,0.56428571428571,0.73333333333333
101_434,0.7,0.58,0.59,0.53285714285714,0.86666666666667
101_434,0.83,0.81,0.8,0.5871428571428601,1.0
101_434,0.71,0.55,0.72,0.49428571428571005,0.93333333333333
101_434,0.88,0.42,0.52,0.44428571428571006,0.8
101_434,0.71,0.52,0.49,0.5599999999999999,0.93333333333333
101_434,0.54,0.8,0.4,0.58285714285714,0.93333333333333
101_434,0.32,0.73,0.31,0.48,1.0
101_434,0.4,0.36,0.53,0.42428571428571005,0.93333333333333
101_434,0.4,0.42,0.8,0.48,0.86666666666667
101_434,0.54,0.66,0.85,0.50857142857143,1.0
101_434,0.55,0.47,0.63,0.45142857142857,0.8
101_434,0.54,0.35,0.47,0.40142857142857,1.0
101_434,0.4,0.78,0.89,0.57571428571429,0.93333333333333
101_434,0.71,0.82,0.38,0.56285714285714,0.86666666666667
101_434,0.86,0.57,0.87,0.62857142857143,1.0
101_434,0.88,0.41,0.84,0.5885714285714301,0.8
101_434,0.89,0.63,0.88,0.66285714285714,0.86666666666667
101_434,0.5,0.76,0.63,0.53,0.73333333333333
101_434,0.32,0.75,0.42,0.45571428571428996,1.0
101_434,0.52,0.76,0.43,0.43,1.0
101_434,0.56,0.6,0.72,0.43428571428571,0.93333333333333
101_434,0.51,0.83,0.35,0.50142857142857,0.93333333333333
101_434,0.75,0.5,0.83,0.56285714285714,1.0
101_434,0.49,0.49,0.31,0.42428571428571005,0.93333333333333
101_434,0.8,0.65,0.76,0.6028571428571401,1.0
101_434,0.36,0.59,0.7,0.5714285714285701,0.86666666666667
101_434,0.78,0.4,0.77,0.48571428571429004,1.0
101_434,0.54,0.79,0.87,0.63285714285714,0.73333333333333
101_434,0.44,0.76,0.38,0.45142857142857,0.93333333333333
101_434,0.32,0.74,0.3,0.44142857142857006,1.0
101_434,0.31,0.88,0.33,0.56285714285714,1.0
101_434,0.81,0.62,0.71,0.5557142857142899,1.0
101_434,0.33,0.3,0.53,0.45142857142857,1.0
101_434,0.53,0.87,0.74,0.54571428571429,0.73333333333333
101_434,0.75,0.61,0.62,0.53428571428571,0.86666666666667
101_434,0.6,0.49,0.82,0.53,0.8
101_434,0.89,0.79,0.43,0.61428571428571,1.0
101_434,0.45,0.57,0.8,0.47428571428571004,0.8
101_434,0.79,0.88,0.49,0.6200000000000001,1.0
101_434,0.35,0.46,0.41,0.39714285714286,1.0
101_434,0.37,0.57,0.42,0.53857142857143,0.86666666666667
101_434,0.67,0.58,0.8,0.5571428571428599,0.93333333333333
101_434,0.39,0.73,0.43,0.55285714285714,0.93333333333333
101_434,0.68,0.81,0.33,0.40571428571428997,0.8
101_434,0.65,0.76,0.39,0.50571428571429,1.0
101_434,0.58,0.78,0.81,0.5714285714285701,0.93333333333333
101_434,0.5,0.36,0.58,0.41714285714286004,0.86666666666667
101_434,0.89,0.31,0.84,0.5714285714285701,0.86666666666667
101_434,0.37,0.76,0.53,0.51571428571429,1.0
101_434,0.59,0.49,0.35,0.38857142857143,1.0
101_434,0.5,0.37,0.52,0.44428571428571006,0.93333333333333
101_434,0.35,0.79,0.58,0.53714285714286,1.0
101_434,0.84,0.46,0.81,0.49857142857143,0.86666666666667
101_434,0.72,0.71,0.74,0.6200000000000001,0.8
101_434,0.52,0.39,0.44,0.39714285714286,1.0
101_434,0.31,0.77,0.88,0.48857142857143004,1.0
101_434,0.48,0.52,0.62,0.49285714285714005,1.0
101_434,0.3,0.61,0.58,0.52571428571429,1.0
101_434,0.89,0.65,0.7,0.52857142857143,0.8
101_434,0.31,0.59,0.75,0.45428571428571,1.0
101_434,0.73,0.5,0.63,0.57571428571429,0.86666666666667
101_434,0.56,0.43,0.88,0.49857142857143,0.93333333333333
101_434,0.33,0.79,0.37,0.56285714285714,1.0
101_434,0.77,0.61,0.55,0.46285714285713997,0.8
101_434,0.48,0.74,0.49,0.49571428571429,0.86666666666667
101_434,0.67,0.8,0.61,0.53714285714286,0.86666666666667
101_434,0.82,0.51,0.63,0.50142857142857,0.86666666666667
101_434,0.49,0.57,0.57,0.44714285714286,0.73333333333333
101_434,0.4,0.43,0.88,0.50714285714286,1.0
101_434,0.63,0.57,0.47,0.41857142857143004,1.0
101_434,0.64,0.47,0.76,0.46142857142856997,1.0
101_434,0.75,0.45,0.53,0.40285714285714,0.8
101_434,0.32,0.41,0.53,0.47285714285714003,0.86666666666667
101_434,0.62,0.32,0.5,0.49714285714286,0.73333333333333
101_434,0.65,0.79,0.71,0.54857142857143,1.0
101_434,0.7,0.32,0.34,0.49285714285714005,0.93333333333333
101_434,0.68,0.31,0.57,0.47714285714286,1.0
101_434,0.74,0.59,0.31,0.46285714285713997,1.0
101_434,0.54,0.77,0.3,0.40571428571428997,0.86666666666667
101_434,0.31,0.62,0.79,0.53142857142857,1.0
101_434,0.52,0.85,0.69,0.53571428571429,0.73333333333333
101_434,0.77,0.52,0.78,0.5,0.93333333333333
101_434,0.33,0.48,0.3,0.42714285714286,0.93333333333333
101_434,0.84,0.86,0.88,0.5728571428571401,0.8
101_434,0.69,0.83,0.59,0.52857142857143,0.86666666666667
101_434,0.73,0.74,0.35,0.46428571428570997,1.0
101_434,0.58,0.7,0.56,0.44285714285714006,0.73333333333333
101_434,0.3,0.5,0.85,0.5571428571428599,1.0
101_434,0.82,0.8,0.34,0.48857142857143004,0.93333333333333
101_434,0.82,0.64,0.64,0.53857142857143,0.93333333333333
101_434,0.8,0.87,0.76,0.65,1.0
101_434,0.32,0.75,0.74,0.49857142857143,0.93333333333333
101_434,0.65,0.86,0.86,0.6014285714285701,1.0
101_434,0.34,0.36,0.49,0.43142857142857,1.0
101_434,0.77,0.89,0.8,0.62571428571429,0.93333333333333
101_434,0.81,0.42,0.76,0.45571428571428996,1.0
101_434,0.78,0.68,0.45,0.44857142857143,1.0
101_434,0.63,0.34,0.39,0.45571428571428996,0.8
101_434,0.46,0.87,0.42,0.47142857142857003,0.73333333333333
101_434,0.41,0.74,0.56,0.52571428571429,0.73333333333333
101_434,0.56,0.81,0.78,0.5942857142857101,0.93333333333333
101_434,0.6,0.81,0.72,0.55428571428571,0.73333333333333
101_434,0.56,0.3,0.41,0.54571428571429,0.73333333333333
101_434,0.86,0.71,0.87,0.5700000000000001,1.0
101_434,0.32,0.43,0.88,0.54571428571429,1.0
101_434,0.57,0.51,0.7,0.57571428571429,1.0
101_434,0.8,0.48,0.73,0.56142857142857,0.73333333333333
101_434,0.54,0.75,0.39,0.50857142857143,0.8
101_434,0.37,0.77,0.87,0.51428571428571,1.0
101_434,0.52,0.36,0.69,0.44428571428571006,0.86666666666667
101_434,0.62,0.41,0.57,0.47714285714286,1.0
101_434,0.39,0.58,0.7,0.47428571428571004,1.0
101_434,0.59,0.89,0.36,0.51285714285714,1.0
101_434,0.39,0.59,0.51,0.46714285714286,1.0
101_434,0.36,0.71,0.67,0.45285714285714,0.86666666666667
101_434,0.8,0.34,0.76,0.49000000000000005,1.0
101_434,0.67,0.88,0.32,0.56428571428571,1.0
101_434,0.61,0.7,0.71,0.55285714285714,0.73333333333333
101_434,0.42,0.45,0.79,0.5728571428571401,0.8
101_434,0.49,0.47,0.33,0.48714285714286004,1.0
101_434,0.66,0.35,0.78,0.55142857142857,0.73333333333333
101_434,0.7,0.31,0.44,0.42285714285714004,0.86666666666667
101_434,0.72,0.85,0.57,0.54571428571429,1.0
101_434,0.4,0.77,0.75,0.47142857142857003,0.86666666666667
101_434,0.72,0.31,0.36,0.42857142857143,1.0
101_434,0.88,0.73,0.31,0.53428571428571,0.8
101_434,0.67,0.33,0.34,0.43857142857143006,1.0
101_434,0.41,0.8,0.43,0.48285714285714,0.73333333333333
101_434,0.88,0.4,0.67,0.52,1.0
101_434,0.53,0.41,0.51,0.50714285714286,0.8
101_434,0.45,0.73,0.5,0.48571428571429004,0.8
101_434,0.59,0.35,0.62,0.43,1.0
101_434,0.38,0.64,0.83,0.5571428571428599,1.0
101_434,0.44,0.32,0.44,0.46571428571429,0.8
101_434,0.5,0.44,0.64,0.46571428571429,0.73333333333333
101_434,0.32,0.5,0.52,0.47285714285714003,1.0
101_434,0.51,0.64,0.75,0.48714285714286004,0.73333333333333
101_434,0.77,0.6,0.47,0.54285714285714,1.0
101_434,0.66,0.83,0.61,0.52285714285714,1.0
101_434,0.63,0.44,0.36,0.47285714285714003,1.0
101_434,0.64,0.88,0.41,0.53285714285714,0.8
101_434,0.53,0.5,0.49,0.46428571428570997,1.0
101_434,0.78,0.45,0.49,0.5557142857142899,1.0
101_434,0.55,0.32,0.86,0.55142857142857,1.0
101_434,0.31,0.37,0.74,0.47142857142857003,0.86666666666667
101_434,0.54,0.8,0.41,0.6185714285714301,1.0
101_434,0.32,0.87,0.42,0.48142857142857,0.8
101_434,0.89,0.36,0.67,0.52714285714286,0.73333333333333
101_434,0.36,0.59,0.81,0.48857142857143004,1.0
101_434,0.7,0.83,0.39,0.59714285714286,0.73333333333333
101_434,0.69,0.65,0.64,0.6000000000000001,0.8
101_434,0.66,0.64,0.48,0.44000000000000006,1.0
101_434,0.78,0.38,0.8,0.55285714285714,0.93333333333333
101_434,0.43,0.36,0.39,0.50142857142857,1.0
101_434,0.32,0.51,0.32,0.35285714285714004,0.86666666666667
101_434,0.41,0.58,0.84,0.5700000000000001,0.8
101_434,0.46,0.53,0.81,0.58285714285714,0.73333333333333
101_434,0.74,0.37,0.51,0.41,1.0
101_434,0.33,0.33,0.78,0.45142857142857,1.0
101_434,0.87,0.46,0.44,0.49000000000000005,0.73333333333333
101_434,0.8,0.86,0.81,0.63,0.86666666666667
101_434,0.54,0.78,0.62,0.53571428571429,1.0
101_434,0.42,0.83,0.33,0.53714285714286,0.93333333333333
101_434,0.88,0.49,0.64,0.58142857142857,0.86666666666667
101_434,0.67,0.46,0.43,0.53285714285714,0.73333333333333
101_434,0.57,0.75,0.34,0.46285714285713997,1.0
101_434,0.56,0.49,0.5,0.46142857142856997,0.86666666666667
101_434,0.71,0.43,0.4,0.50285714285714,0.8
101_434,0.61,0.82,0.37,0.43428571428571,0.8
101_434,0.83,0.51,0.44,0.57857142857143,0.73333333333333
101_434,0.52,0.68,0.45,0.51142857142857,1.0
