geopixel,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,cve_css_total_score,os_os_security_assessment
81_452,0.87,0.35,0.63,0.52857142857143,0.86666666666667
81_452,0.52,0.83,0.79,0.53857142857143,1.0
81_452,0.84,0.81,0.87,0.71,0.8
81_452,0.57,0.36,0.57,0.45999999999999996,0.86666666666667
81_452,0.84,0.44,0.49,0.41285714285714,1.0
81_452,0.45,0.77,0.66,0.55,0.86666666666667
81_452,0.63,0.31,0.41,0.41428571428571,1.0
81_452,0.62,0.33,0.31,0.49000000000000005,0.86666666666667
81_452,0.34,0.6,0.54,0.46714285714286,0.86666666666667
81_452,0.61,0.67,0.74,0.53714285714286,0.73333333333333
81_452,0.47,0.7,0.62,0.52,0.8
81_452,0.32,0.42,0.5,0.51428571428571,0.93333333333333
81_452,0.68,0.31,0.77,0.52,0.86666666666667
81_452,0.53,0.31,0.66,0.51,1.0
81_452,0.77,0.6,0.38,0.50571428571429,0.73333333333333
81_452,0.47,0.64,0.36,0.50428571428571,1.0
81_452,0.62,0.88,0.5,0.53285714285714,1.0
81_452,0.5,0.89,0.62,0.58142857142857,1.0
81_452,0.63,0.56,0.52,0.44571428571429,0.8
81_452,0.45,0.75,0.53,0.50285714285714,0.93333333333333
81_452,0.35,0.88,0.42,0.43571428571429005,0.73333333333333
81_452,0.81,0.61,0.45,0.58,0.93333333333333
81_452,0.86,0.72,0.88,0.5928571428571401,1.0
81_452,0.32,0.89,0.54,0.56571428571429,0.86666666666667
81_452,0.89,0.58,0.34,0.47857142857143,0.93333333333333
81_452,0.42,0.83,0.35,0.41,1.0
81_452,0.76,0.6,0.37,0.52571428571429,0.73333333333333
81_452,0.8,0.46,0.6,0.52428571428571,1.0
81_452,0.55,0.46,0.84,0.48285714285714,1.0
81_452,0.65,0.47,0.6,0.48571428571429004,0.73333333333333
81_452,0.31,0.69,0.42,0.38428571428571,0.86666666666667
81_452,0.41,0.53,0.67,0.50714285714286,1.0
81_452,0.38,0.48,0.37,0.44285714285714006,1.0
81_452,0.78,0.33,0.64,0.47428571428571004,1.0
81_452,0.89,0.43,0.87,0.55142857142857,1.0
81_452,0.85,0.43,0.33,0.42714285714286,1.0
81_452,0.79,0.68,0.41,0.58142857142857,0.73333333333333
81_452,0.44,0.53,0.53,0.44142857142857006,0.73333333333333
81_452,0.7,0.89,0.76,0.6228571428571401,1.0
81_452,0.31,0.44,0.78,0.5,0.93333333333333
81_452,0.77,0.45,0.6,0.52571428571429,0.86666666666667
81_452,0.6,0.8,0.39,0.53285714285714,1.0
81_452,0.39,0.48,0.77,0.52714285714286,0.8
81_452,0.88,0.48,0.6,0.54142857142857,1.0
81_452,0.31,0.78,0.75,0.56142857142857,1.0
81_452,0.78,0.79,0.58,0.6400000000000001,0.86666666666667
81_452,0.69,0.7,0.34,0.51,1.0
81_452,0.51,0.54,0.32,0.51,0.8
81_452,0.8,0.74,0.38,0.55285714285714,1.0
81_452,0.34,0.5,0.58,0.50428571428571,0.93333333333333
81_452,0.74,0.64,0.39,0.53571428571429,1.0
81_452,0.84,0.74,0.57,0.6185714285714301,0.86666666666667
81_452,0.75,0.75,0.61,0.52142857142857,1.0
81_452,0.34,0.36,0.55,0.36428571428571005,0.8
81_452,0.68,0.36,0.72,0.48857142857143004,0.86666666666667
81_452,0.78,0.58,0.58,0.49428571428571005,0.73333333333333
81_452,0.33,0.75,0.66,0.54,1.0
81_452,0.53,0.85,0.75,0.58142857142857,0.8
81_452,0.39,0.84,0.49,0.49571428571429,0.93333333333333
81_452,0.77,0.86,0.77,0.67714285714286,1.0
81_452,0.83,0.41,0.86,0.5928571428571401,0.73333333333333
81_452,0.58,0.88,0.86,0.63,1.0
81_452,0.47,0.83,0.8,0.57571428571429,0.8
81_452,0.43,0.48,0.88,0.48142857142857,1.0
81_452,0.62,0.88,0.81,0.54428571428571,0.86666666666667
81_452,0.67,0.77,0.76,0.54428571428571,1.0
81_452,0.83,0.3,0.47,0.47571428571429,0.86666666666667
81_452,0.45,0.53,0.41,0.41428571428571,0.8
81_452,0.32,0.53,0.39,0.41285714285714,0.73333333333333
81_452,0.77,0.59,0.33,0.54142857142857,0.86666666666667
81_452,0.62,0.64,0.72,0.54857142857143,1.0
81_452,0.88,0.43,0.36,0.43142857142857,0.93333333333333
81_452,0.73,0.84,0.64,0.61142857142857,0.8
81_452,0.53,0.43,0.53,0.39142857142857,1.0
81_452,0.7,0.8,0.66,0.5914285714285701,0.93333333333333
81_452,0.8,0.79,0.39,0.53428571428571,1.0
81_452,0.41,0.77,0.77,0.49571428571429,0.93333333333333
81_452,0.67,0.86,0.53,0.60571428571429,0.8
81_452,0.45,0.45,0.38,0.46142857142856997,0.8
81_452,0.54,0.53,0.58,0.5,1.0
81_452,0.41,0.72,0.45,0.52714285714286,0.8
81_452,0.8,0.67,0.42,0.46285714285713997,1.0
81_452,0.57,0.74,0.34,0.44571428571429,0.8
81_452,0.83,0.47,0.68,0.50142857142857,1.0
81_452,0.78,0.65,0.44,0.5728571428571401,0.86666666666667
81_452,0.4,0.42,0.71,0.45142857142857,0.73333333333333
81_452,0.7,0.4,0.77,0.46857142857143,1.0
81_452,0.49,0.7,0.56,0.51857142857143,0.8
81_452,0.83,0.86,0.75,0.6200000000000001,0.86666666666667
81_452,0.69,0.81,0.84,0.63142857142857,1.0
81_452,0.33,0.36,0.34,0.43142857142857,0.86666666666667
81_452,0.73,0.78,0.79,0.61,1.0
81_452,0.41,0.76,0.89,0.55142857142857,0.73333333333333
81_452,0.48,0.6,0.72,0.54,1.0
81_452,0.48,0.86,0.62,0.59857142857143,0.93333333333333
81_452,0.8,0.44,0.73,0.52714285714286,1.0
81_452,0.63,0.59,0.55,0.48,0.8
81_452,0.51,0.31,0.4,0.36428571428571005,1.0
81_452,0.6,0.67,0.79,0.5728571428571401,1.0
81_452,0.78,0.6,0.81,0.5900000000000001,0.86666666666667
81_452,0.43,0.56,0.77,0.48571428571429004,0.73333333333333
81_452,0.8,0.46,0.6,0.55285714285714,0.8
81_452,0.87,0.6,0.39,0.5671428571428601,1.0
81_452,0.61,0.65,0.35,0.49857142857143,1.0
81_452,0.75,0.64,0.3,0.45714285714285996,0.86666666666667
81_452,0.37,0.67,0.65,0.48714285714286004,0.73333333333333
81_452,0.75,0.55,0.51,0.50285714285714,0.8
81_452,0.34,0.56,0.77,0.5,0.73333333333333
81_452,0.83,0.62,0.76,0.5928571428571401,0.86666666666667
81_452,0.45,0.65,0.65,0.49428571428571005,0.93333333333333
81_452,0.46,0.32,0.55,0.43714285714286005,1.0
