scan_id,created_at,latitude,longitude,geopixel,scanned_device_id,name,type,model,os_version,osi_model_layer1_security_posture_assessment,osi_model_layer2_security_posture_assessment,osi_model_layer3_security_posture_assessment,osi_model_layer4_security_posture_assessment,osi_model_layer5_security_posture_assessment,osi_model_layer6_security_posture_assessment,osi_model_layer7_security_posture_assessment,cve_css_total_score,os_os_security_assessment,os_mta_security_assessment,os_web_server_security_assessment,gdpr_processing_probability,gdpr_profiling_probability,ec_council_attack_phase_detected_reconnaissance,ec_council_attack_phase_detected_scanning,ia_confidentiality_assessment,ia_authenticity_assessment,ia_integrity_assessment,ia_availability_assessment,device_total_security_score
308684,1657646388,53.79,17.193,86_449,463776,"HTC Evo",smartphone,Evo,android-11.0.13_r28,0.31,0.58,0.78,0.8,0.71,0.35,0.51,5.0428571428571,0.8,,1,0.11111111111111,0.6,,,,,,,0.71888888888889
308684,1657646388,53.79,17.193,86_449,463777,"generic ",tablet,,,0.51,0.75,0.66,0.62,0.71,0.55,0.49,5.4285714285714,1,,0.066666666666667,0,0.2,,,,,,,0.75425925925926
308683,1672135420,51.54,19.698,99_430,463774,"Samsung Galaxy S10 Plus",smartphone,"Galaxy S10 Plus",android-8.0.9_r29,0.41,0.75,0.83,0.31,0.31,0.84,0.66,4.9285714285714,0.73333333333333,,1,1,1,,,,,,,0.69351851851852
308683,1672135420,51.54,19.698,99_430,463775,"generic ",storage,,,0.79,0.33,0.7,0.65,0.31,0.33,0.72,4.4428571428571,1,,0.53333333333333,1,1,,,1,,,,0.75074074074074
308682,1675382656,51.26,18.584,93_428,463773,"Samsung Galaxy S8",smartphone,"Galaxy S8",android-8.0.0_r7,0.82,0.62,0.46,0.3,0.72,0.55,0.49,4.9571428571429,0.73333333333333,,1,1,1,,,,,,,0.69462962962963
308681,1667327609,52.95,14.275,72_442,463772,"Motorola Z2 Play",smartphone,"Z2 Play",android-8.0.0_r19,0.73,0.63,0.47,0.88,0.66,0.71,0.42,5.8285714285714,1,,1,0.66666666666667,1,,,,,,,0.82222222222222
308680,1656546853,51.62,19.78,99_431,463770,"LG Q8",smartphone,Q8,android-11.1.0_r7,0.69,0.49,0.7,0.76,0.6,0.74,0.64,5.6857142857143,0.93333333333333,,1,0.77777777777778,1,,,,,,,0.9012962962963
308680,1656546853,51.62,19.78,99_431,463771,"generic ",smart,,,0.4,0.85,0.6,0.88,0.62,0.86,0.64,6.0142857142857,1,,0.53333333333333,0.77777777777778,1,,,,,,,0.91074074074074
308679,1662949142,52.2,19.881,100_436,463768,"Motorola G5S",smartphone,G5S,android-8.0.0_r23,0.45,0.77,0.3,0.51,0.33,0.8,0.57,4.5142857142857,0.86666666666667,,1,0.88888888888889,0.86666666666667,,,0.87878787878788,,,,1
308679,1662949142,52.2,19.881,100_436,463769,"LG LGS12ET",klimatyzator,LGS12ET,,0.54,0.82,0.69,0.58,0.56,0.55,0.33,5.3428571428571,1,,1,0.66666666666667,0.93333333333333,,,,,,,1
